date,year,week,day_of_week,v_name,h_name,day_night,park_id,temp,precip,capacity,prev_year_wins,made_playoffs,won_division,InstagramFollowers,CityPopulation,Payroll,PayrollStd,attendance
2005-04-09,2005,1,Sat,COL,SF,0,AT&T Park,62.3,0.063,41915.0,91,0,0,1600000,4648486,89487842,1.230103521,37993.0
2005-04-09,2005,1,Sat,PHI,STL,0,Busch Stadium II,74.9,0.0,50345.0,105,1,1,1100000,2811927,93319842,1.282778349,39242.0
2005-04-10,2005,1,Sun,KC,LAA,0,Angel Stadium,71.1,0.0,45050.0,92,1,1,1200000,12927614,95017822,1.306118851,40689.0
2005-04-10,2005,1,Sun,CLE,DET,0,Comerica Park,62.7,0.0,41083.0,72,0,0,1000000,4400587,68998183,0.948451834,25758.0
2005-04-10,2005,1,Sun,CHW,MIN,1,Metrodome,,,55000.0,92,1,1,585000,3757952,56615000,0.778232096,28089.0
2005-04-10,2005,1,Sun,BAL,NYY,0,Old Yankee Stadium,68.3,0.0,56937.0,101,1,1,3900000,19940274,205938439,2.83083817,46797.0
2005-04-10,2005,1,Sun,TEX,SEA,0,Safeco Field,53.6,0.22,47943.0,63,0,0,927000,4145494,85883333,1.180555793,30434.0
2005-04-10,2005,1,Sun,OAK,TB,0,Tropicana Field,,,42735.0,70,0,0,528000,3424650,29893567,0.410918189,12174.0
2005-04-10,2005,1,Sun,BOS,TOR,0,Rogers Centre,,,49282.0,67,0,0,1700000,3026000,45336500,0.623197375,22845.0
2005-04-10,2005,1,Sun,LAD,ARI,0,Chase Field,,,48686.0,51,0,0,665000,5186958,63015834,0.866218221,29796.0
2005-04-10,2005,1,Sun,NYM,ATL,0,Turner Field,73.8,0.0,49586.0,96,1,1,1900000,6411149,85148582,1.170455876,36601.0
2005-04-10,2005,1,Sun,MIL,CHC,0,Wrigley Field,67.0,0.0,41072.0,89,0,0,1900000,9408576,87210933,1.198805037,39076.0
2005-04-10,2005,1,Sun,WSH,MIA,0,Sun Life Stadium,78.8,0.0,47662.0,83,0,0,783000,6457988,60375961,0.829930419,25089.0
