date,year,day_of_week,v_name,v_league,v_game_number,h_name,h_league,h_game_number,v_score,h_score,day_night,park_id,attendance,week,location,temp,precip,home team,capacity,Team,prev_year_wins,made_playoffs,won_division
2005-04-13,2005,Wed,BAL,AL,8,TB,AL,8,5,1,N,Tropicana Field,9226.0,2,Tampa Bay,,,Rays,42735.0,Rays,70,0,0
2005-04-13,2005,Wed,LAA,AL,9,TEX,AL,9,5,7,N,Globe Life Field,21625.0,2,Texas,73.5,0.0,Rangers,48114.0,Rangers,89,0,0
2005-04-13,2005,Wed,COL,NL,8,ARI,NL,9,2,5,D,Chase Field,19272.0,2,Arizona,,,Diamondbacks,48686.0,Diamondbacks,51,0,0
2005-04-13,2005,Wed,WSH,NL,9,ATL,NL,9,11,4,D,Turner Field,19093.0,2,Atlanta,64.6,0.087,Braves,49586.0,Braves,96,1,1
2005-04-13,2005,Wed,SD,NL,9,CHC,NL,9,3,8,D,Wrigley Field,39230.0,2,Chicago,48.1,0.0,Cubs,41072.0,Cubs,89,0,0
2005-04-13,2005,Wed,PHI,NL,9,MIA,NL,9,0,4,D,Sun Life Stadium,14427.0,2,Miami,84.1,0.146,Marlins,47662.0,Marlins,83,0,0
2005-04-13,2005,Wed,SF,NL,8,LAD,NL,8,1,4,N,Dodger Stadium,46514.0,2,Los Angeles,74.3,0.0,Dodgers,56000.0,Dodgers,93,1,1
2005-04-13,2005,Wed,PIT,NL,9,MIL,NL,8,2,6,D,Miller Park,11021.0,2,Miluakee,,,Brewers,41900.0,Brewers,67,0,0
2005-04-13,2005,Wed,HOU,NL,7,NYM,NL,8,0,1,N,Shea Stadium,22431.0,2,New York,53.5,0.0,Mets,57333.0,Mets,71,0,0
2005-04-13,2005,Wed,CIN,NL,8,STL,NL,7,6,5,D,Busch Stadium II,28772.0,2,St. Louis,61.4,0.213,Cardinals,50345.0,Cardinals,105,1,1
2005-04-14,2005,Thu,NYY,AL,9,BOS,AL,9,5,8,N,Fenway Park,35251.0,2,Boston,49.9,0.0,Red Sox,37731.0,Red Sox,98,1,0
2005-04-14,2005,Thu,CHW,AL,9,CLE,AL,9,6,8,N,Progressive Field,12470.0,2,Cleveland,52.1,0.0,Indians,43000.0,Indians,80,0,0
2005-04-14,2005,Thu,SEA,AL,9,KC,AL,9,10,2,D,Kauffman Stadium,10212.0,2,Kansas City,65.5,0.0,Royals,37903.0,Royals,58,0,0
2005-04-14,2005,Thu,DET,AL,9,MIN,AL,9,4,10,N,Metrodome,14344.0,2,Minnesota,,,Twins,55000.0,Twins,92,1,1
2005-04-14,2005,Thu,BAL,AL,9,TB,AL,9,7,12,N,Tropicana Field,9797.0,2,Tampa Bay,,,Rays,42735.0,Rays,70,0,0
2005-04-14,2005,Thu,TOR,AL,10,TEX,AL,10,2,1,N,Globe Life Field,19366.0,2,Texas,72.7,0.0,Rangers,48114.0,Rangers,89,0,0
2005-04-14,2005,Thu,HOU,NL,8,NYM,NL,9,3,4,N,Shea Stadium,17214.0,2,New York,60.9,0.0,Mets,57333.0,Mets,71,0,0
2005-04-14,2005,Thu,ARI,NL,10,WSH,NL,10,3,5,N,RFK Stadium,45596.0,2,"Washington, D.C.",64.3,0.0,Nationals,45596.0,Nationals,67,0,0
2005-04-15,2005,Fri,NYY,AL,10,BAL,AL,10,1,8,N,Camden Yards,48061.0,2,Baltimore,56.2,0.0,Orioles,45971.0,Orioles,78,0,0
2005-04-15,2005,Fri,TB,AL,10,BOS,AL,10,0,10,N,Fenway Park,35023.0,2,Boston,47.4,0.0,Red Sox,37731.0,Red Sox,98,1,0
2005-04-15,2005,Fri,SEA,AL,10,CHW,AL,10,4,6,N,US Cellular Field,16749.0,2,Chicago,50.6,0.0,White Sox,40615.0,White Sox,83,0,0
2005-04-15,2005,Fri,MIN,AL,10,CLE,AL,10,3,2,N,Progressive Field,15360.0,2,Cleveland,55.8,0.0,Indians,43000.0,Indians,80,0,0
2005-04-15,2005,Fri,DET,AL,10,KC,AL,10,5,6,N,Kauffman Stadium,29720.0,2,Kansas City,70.5,0.0,Royals,37903.0,Royals,58,0,0
2005-04-15,2005,Fri,LAA,AL,10,OAK,AL,10,6,1,N,Coliseum,23283.0,2,Oakland,68.6,0.0,Athletics,47170.0,Athletics,91,0,0
2005-04-15,2005,Fri,TOR,AL,11,TEX,AL,11,2,4,N,Globe Life Field,30453.0,2,Texas,74.9,0.0,Rangers,48114.0,Rangers,89,0,0
2005-04-15,2005,Fri,HOU,NL,9,CIN,NL,9,11,2,N,Great American Ball Park,31740.0,2,Cincinatti,68.4,0.0,Reds,42319.0,Reds,76,0,0
2005-04-15,2005,Fri,SF,NL,9,COL,NL,9,13,6,N,Coors Field,22551.0,2,Colorado,68.4,0.0,Rockies,50144.0,Rockies,68,0,0
2005-04-15,2005,Fri,SD,NL,10,LAD,NL,9,0,4,N,Dodger Stadium,51816.0,2,Los Angeles,79.8,0.0,Dodgers,56000.0,Dodgers,93,1,1
2005-04-15,2005,Fri,STL,NL,8,MIL,NL,9,3,0,N,Miller Park,22676.0,2,Miluakee,,,Brewers,41900.0,Brewers,67,0,0
2005-04-15,2005,Fri,MIA,NL,10,NYM,NL,10,0,4,N,Shea Stadium,49448.0,2,New York,54.2,0.0,Mets,57333.0,Mets,71,0,0
2005-04-15,2005,Fri,ATL,NL,10,PHI,NL,10,11,4,N,Citizens Bank Park,31408.0,2,Philadelphia,55.1,0.0,Phillies,43651.0,Phillies,86,0,0
2005-04-15,2005,Fri,CHC,NL,10,PIT,NL,10,5,8,N,PNC Park,29256.0,2,Pittsburgh,63.0,0.0,Pirates,38362.0,Pirates,72,0,0
