date,temperature_2m_max (°F),rain_sum (inch)
3/14/2006,58,0.114
3/15/2006,44,0
3/16/2006,45.5,0
3/17/2006,44.8,0
3/18/2006,42.8,0
3/19/2006,41.4,0
3/20/2006,39.7,0
3/21/2006,42.8,0
3/22/2006,45.3,0
3/23/2006,51.1,0
3/24/2006,49.9,0
3/25/2006,44.5,0.004
3/26/2006,51.4,0.055
3/27/2006,56.5,0
3/28/2006,52.5,0
3/29/2006,58.9,0
3/30/2006,63.4,0
3/31/2006,65.9,0
4/1/2006,70.6,0.177
4/2/2006,63.7,0
4/3/2006,51.7,0.858
4/4/2006,54.4,0.134
4/5/2006,47,0.075
4/6/2006,51.6,0
4/7/2006,58,0.126
4/8/2006,51.4,0.642
4/9/2006,55.3,0
4/10/2006,57.9,0
4/11/2006,63,0
4/12/2006,62.1,0
4/13/2006,73.4,0.134
4/14/2006,63.8,0.217
4/15/2006,76.1,0.02
4/16/2006,64.2,0
4/17/2006,60.4,0
4/18/2006,68,0
4/19/2006,69.4,0
4/20/2006,77.7,0
4/21/2006,56.4,0
4/22/2006,46.3,0.972
4/23/2006,57.9,2.846
4/24/2006,57.8,0.024
4/25/2006,67.3,0
4/26/2006,56.2,0
4/27/2006,68.1,0
4/28/2006,59.6,0
4/29/2006,60.9,0
4/30/2006,66,0
5/1/2006,66.4,0
5/2/2006,63.6,0
5/3/2006,65.5,0.039
5/4/2006,77.3,0
5/5/2006,76.6,0
5/6/2006,73.2,0
5/7/2006,63.6,0
5/8/2006,61.2,0
5/9/2006,61.2,0
5/10/2006,62.5,0.012
5/11/2006,62.5,0.004
5/12/2006,65.6,1.055
5/13/2006,69.5,0
5/14/2006,62.1,0
5/15/2006,61.5,0.366
5/16/2006,63,0.559
5/17/2006,68.4,0.004
5/18/2006,69.6,0.004
5/19/2006,63.3,0.748
5/20/2006,66.3,0
5/21/2006,67.9,0.039
5/22/2006,63.7,0
5/23/2006,63.6,0
5/24/2006,71,0
5/25/2006,77.1,0.02
5/26/2006,73.2,0.071
5/27/2006,79.6,0.039
5/28/2006,79.6,0
5/29/2006,85.5,0
5/30/2006,82.9,0
5/31/2006,76.3,0
6/1/2006,87.1,0.402
6/2/2006,81.6,0.618
6/3/2006,73.4,0.929
6/4/2006,66.8,0.024
6/5/2006,69.6,0.012
