latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.785587,-122.40964,11.0,0,GMT,GMT
,,,,,
time,temperature_2m_max (°F),precipitation_sum (inch),,,
2006-01-08,57.7,0.000,,,
2006-01-09,57.4,0.000,,,
2006-01-10,56.6,0.000,,,
2006-01-11,57.7,0.154,,,
2006-01-12,57.7,0.000,,,
2006-01-13,61.9,0.000,,,
2006-01-14,59.2,0.772,,,
2006-01-15,53.4,0.000,,,
2006-01-16,52.7,0.000,,,
2006-01-17,55.5,0.016,,,
2006-01-18,54.8,0.484,,,
2006-01-19,54.4,0.020,,,
2006-01-20,54.0,0.000,,,
2006-01-21,55.5,0.035,,,
2006-01-22,59.5,0.000,,,
2006-01-23,61.0,0.000,,,
2006-01-24,60.4,0.000,,,
2006-01-25,59.8,0.000,,,
2006-01-26,53.9,0.012,,,
2006-01-27,56.0,0.063,,,
2006-01-28,54.7,0.138,,,
2006-01-29,56.2,0.146,,,
2006-01-30,55.9,0.236,,,
2006-01-31,55.6,0.000,,,
2006-02-01,55.7,0.079,,,
2006-02-02,58.9,0.157,,,
2006-02-03,57.6,0.000,,,
2006-02-04,57.7,0.075,,,
2006-02-05,60.9,0.000,,,
2006-02-06,62.1,0.000,,,
2006-02-07,66.0,0.000,,,
2006-02-08,67.0,0.000,,,
2006-02-09,66.3,0.000,,,
2006-02-10,65.4,0.000,,,
2006-02-11,63.4,0.000,,,
2006-02-12,64.3,0.000,,,
2006-02-13,66.1,0.000,,,
2006-02-14,65.4,0.000,,,
2006-02-15,57.5,0.000,,,
2006-02-16,51.7,0.008,,,
2006-02-17,49.4,0.150,,,
2006-02-18,49.7,0.236,,,
2006-02-19,49.8,0.106,,,
2006-02-20,53.5,0.000,,,
2006-02-21,55.6,0.000,,,
2006-02-22,59.1,0.000,,,
2006-02-23,63.0,0.000,,,
2006-02-24,63.4,0.000,,,
2006-02-25,63.0,0.000,,,
2006-02-26,59.4,0.280,,,
2006-02-27,59.2,1.913,,,
2006-02-28,58.6,1.228,,,
2006-03-01,56.2,0.004,,,
2006-03-02,55.2,0.358,,,
2006-03-03,54.3,0.547,,,
2006-03-04,54.6,0.000,,,
2006-03-05,54.7,0.488,,,
2006-03-06,56.2,1.331,,,
2006-03-07,55.3,0.154,,,
2006-03-08,56.2,0.000,,,
2006-03-09,54.1,0.016,,,
2006-03-10,49.7,0.094,,,
2006-03-11,49.7,0.047,,,
2006-03-12,50.1,0.114,,,
2006-03-13,53.2,0.000,,,
2006-03-14,54.1,0.717,,,
2006-03-15,54.4,0.051,,,
2006-03-16,55.7,0.201,,,
2006-03-17,55.0,0.398,,,
2006-03-18,57.8,0.000,,,
2006-03-19,57.9,0.000,,,
2006-03-20,56.4,0.394,,,
2006-03-21,54.5,0.106,,,
2006-03-22,57.3,0.000,,,
2006-03-23,61.9,0.000,,,
2006-03-24,60.3,0.386,,,
2006-03-25,58.4,0.815,,,
2006-03-26,59.0,0.000,,,
2006-03-27,59.9,0.047,,,
2006-03-28,55.3,0.575,,,
2006-03-29,57.3,0.524,,,
2006-03-30,56.5,0.028,,,
2006-03-31,57.0,0.898,,,
2006-04-01,56.7,0.228,,,
2006-04-02,58.0,0.331,,,
2006-04-03,55.3,0.709,,,
2006-04-04,55.5,0.260,,,
2006-04-05,55.6,0.213,,,
2006-04-06,57.4,0.000,,,
2006-04-07,58.2,0.063,,,
2006-04-08,59.7,0.295,,,
2006-04-09,58.4,0.079,,,
2006-04-10,57.9,0.055,,,
2006-04-11,57.5,0.937,,,
2006-04-12,59.0,3.016,,,
2006-04-13,66.6,0.244,,,
2006-04-14,66.1,0.016,,,
2006-04-15,57.0,0.000,,,
2006-04-16,56.5,0.681,,,
2006-04-17,58.9,0.110,,,
2006-04-18,62.9,0.000,,,
2006-04-19,65.4,0.000,,,
2006-04-20,63.3,0.000,,,
2006-04-21,60.9,0.004,,,
2006-04-22,60.3,0.000,,,
2006-04-23,58.6,0.000,,,
2006-04-24,57.0,0.000,,,
2006-04-25,55.1,0.000,,,
2006-04-26,61.4,0.000,,,
2006-04-27,66.4,0.000,,,
2006-04-28,65.0,0.000,,,
2006-04-29,61.4,0.000,,,
2006-04-30,69.7,0.000,,,
2006-05-01,70.5,0.000,,,
2006-05-02,70.7,0.000,,,
2006-05-03,65.0,0.000,,,
2006-05-04,62.6,0.000,,,
2006-05-05,61.3,0.000,,,
2006-05-06,59.6,0.000,,,
2006-05-07,66.1,0.000,,,
2006-05-08,69.3,0.000,,,
2006-05-09,69.3,0.000,,,
2006-05-10,75.1,0.000,,,
2006-05-11,71.6,0.000,,,
2006-05-12,68.0,0.000,,,
2006-05-13,66.0,0.000,,,
2006-05-14,80.3,0.000,,,
2006-05-15,74.8,0.000,,,
2006-05-16,68.4,0.000,,,
2006-05-17,66.9,0.000,,,
2006-05-18,64.8,0.000,,,
2006-05-19,59.5,0.134,,,
2006-05-20,64.6,0.075,,,
2006-05-21,64.1,0.189,,,
2006-05-22,64.6,0.102,,,
2006-05-23,67.4,0.000,,,
2006-05-24,66.3,0.000,,,
2006-05-25,64.6,0.000,,,
2006-05-26,62.9,0.000,,,
2006-05-27,62.9,0.000,,,
2006-05-28,66.1,0.000,,,
